latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
41.4475,21.9442,303,1.8,1.3,2021-08-16,8,Aqua,MODIS,53,6.03,290.5,13.6,N,2
38.3153,23.6213,333,1.2,1.1,2021-08-16,930,Terra,MODIS,83,6.03,309.8,21.6,D,2
41.105,24.1228,319.8,1.1,1.1,2021-08-16,930,Terra,MODIS,42,6.03,306.5,7.6,D,0
41.1073,24.1097,319.4,1.1,1.1,2021-08-16,930,Terra,MODIS,45,6.03,304.4,7.7,D,0
41.4397,21.9408,327,1,1,2021-08-16,930,Terra,MODIS,76,6.03,312,10.1,D,2
41.4486,21.9431,333.7,1,1,2021-08-16,930,Terra,MODIS,83,6.03,310.5,19.1,D,2
34.8718,25.6947,317,1.8,1.3,2021-08-16,931,Terra,MODIS,56,6.03,306.3,24.1,D,3
37.7282,24.0194,372.9,1.3,1.1,2021-08-16,931,Terra,MODIS,100,6.03,309.6,156.6,D,2
37.7307,24.0054,430,1.2,1.1,2021-08-16,931,Terra,MODIS,100,6.03,313.3,653.6,D,0
37.7379,24.0224,403.1,1.3,1.1,2021-08-16,931,Terra,MODIS,100,6.03,318.3,357.7,D,0
37.7405,24.008,449.3,1.2,1.1,2021-08-16,931,Terra,MODIS,100,6.03,334.3,952.9,D,0
37.7477,24.0251,361.1,1.3,1.1,2021-08-16,931,Terra,MODIS,100,6.03,316.4,103.3,D,0
37.7503,24.0106,354.7,1.2,1.1,2021-08-16,931,Terra,MODIS,97,6.03,313.4,79.6,D,0
37.7575,24.0277,326,1.3,1.1,2021-08-16,931,Terra,MODIS,64,6.03,310.2,14.6,D,0
37.7208,23.9851,351,1.5,1.2,2021-08-16,1113,Aqua,MODIS,95,6.03,315,88.6,D,0
37.7239,24.0017,409.1,1.5,1.2,2021-08-16,1113,Aqua,MODIS,100,6.03,324.5,526,D,0
37.727,24.018,355.8,1.5,1.2,2021-08-16,1113,Aqua,MODIS,97,6.03,312.7,108.1,D,2
37.7313,23.9817,325.8,1.5,1.2,2021-08-16,1113,Aqua,MODIS,58,6.03,312.9,15.7,D,0
37.7345,23.9986,373.2,1.5,1.2,2021-08-16,1113,Aqua,MODIS,100,6.03,318.8,198.8,D,0
37.7376,24.0149,377.2,1.5,1.2,2021-08-16,1113,Aqua,MODIS,100,6.03,320.1,224.8,D,0
37.7404,24.0302,338.3,1.5,1.2,2021-08-16,1113,Aqua,MODIS,82,6.03,313.9,47.6,D,0
37.7481,24.0122,335.2,1.5,1.2,2021-08-16,1113,Aqua,MODIS,84,6.03,312.9,38.7,D,0
37.751,24.0276,334.9,1.5,1.2,2021-08-16,1113,Aqua,MODIS,84,6.03,312.4,38.8,D,0
38.1392,23.3049,391.4,1.6,1.2,2021-08-16,1113,Aqua,MODIS,100,6.03,313.8,386.3,D,0
38.1425,23.3217,348.7,1.6,1.2,2021-08-16,1113,Aqua,MODIS,94,6.03,305.7,98.8,D,0
38.1497,23.2996,379.4,1.6,1.2,2021-08-16,1113,Aqua,MODIS,100,6.03,316.1,278,D,0
38.1531,23.317,371.1,1.6,1.2,2021-08-16,1113,Aqua,MODIS,100,6.03,311.7,216.5,D,0
38.164,23.3139,317.7,1.6,1.2,2021-08-16,1113,Aqua,MODIS,44,6.03,306.7,13.7,D,0
38.102,23.2751,310.9,1.1,1,2021-08-16,2035,Terra,MODIS,81,6.03,294.7,9.2,N,0
38.1034,23.2864,340.5,1.1,1,2021-08-16,2035,Terra,MODIS,100,6.03,301.1,46.3,N,0
38.1049,23.2981,339.2,1.1,1,2021-08-16,2035,Terra,MODIS,100,6.03,298.2,43.9,N,0
38.1111,23.273,329.6,1.1,1,2021-08-16,2035,Terra,MODIS,100,6.03,297.5,28.5,N,0
38.1125,23.2843,314.9,1.1,1,2021-08-16,2035,Terra,MODIS,80,6.03,297,12.4,N,0
38.1201,23.2708,316.6,1.1,1,2021-08-16,2035,Terra,MODIS,58,6.03,293.6,13.3,N,0
38.1216,23.2824,325,1.1,1,2021-08-16,2035,Terra,MODIS,88,6.03,295.6,22,N,0
38.1248,23.3067,354.9,1.1,1,2021-08-16,2035,Terra,MODIS,100,6.03,297.6,76.1,N,0
38.1263,23.3189,370,1.1,1,2021-08-16,2035,Terra,MODIS,100,6.03,300,123.5,N,0
38.1282,23.2746,308,1.1,1,2021-08-16,2035,Terra,MODIS,73,6.03,291.8,7.3,N,0
38.1297,23.2865,323,1.1,1,2021-08-16,2035,Terra,MODIS,100,6.03,294.1,20.9,N,0
38.1327,23.3106,385.5,1.1,1,2021-08-16,2035,Terra,MODIS,100,6.03,302.1,189.1,N,0
38.1343,23.3228,380.3,1.1,1,2021-08-16,2035,Terra,MODIS,100,6.03,303.9,164,N,0
38.1357,23.3347,353,1.1,1,2021-08-16,2035,Terra,MODIS,100,6.03,298.5,71.3,N,0
38.1389,23.2852,308.2,1.1,1,2021-08-16,2035,Terra,MODIS,46,6.03,293.1,7.2,N,0
38.1404,23.297,316.3,1.1,1,2021-08-16,2035,Terra,MODIS,75,6.03,294.5,13.3,N,0
38.1434,23.3209,500,1.1,1,2021-08-16,2035,Terra,MODIS,100,6.03,337.4,1739.3,N,0
38.1449,23.333,500,1.1,1,2021-08-16,2035,Terra,MODIS,100,6.03,367.9,1740.2,N,0
38.1496,23.2955,331.9,1.1,1,2021-08-16,2035,Terra,MODIS,100,6.03,294,30.9,N,0
38.1511,23.3073,319.1,1.1,1,2021-08-16,2035,Terra,MODIS,97,6.03,294,15,N,0
38.1526,23.3194,348.2,1.1,1,2021-08-16,2035,Terra,MODIS,100,6.03,297.9,60.1,N,0
38.1541,23.3313,436.8,1.1,1,2021-08-16,2035,Terra,MODIS,100,6.03,318.3,598.3,N,0
38.1556,23.3434,353.1,1.1,1,2021-08-16,2035,Terra,MODIS,100,6.03,296.6,71.6,N,2
38.1617,23.3174,304.1,1.1,1,2021-08-16,2035,Terra,MODIS,48,6.03,293.6,4.1,N,0
41.4481,21.9447,310.4,1.2,1.1,2021-08-17,51,Aqua,MODIS,80,6.03,292.1,13.5,N,2
38.1008,23.3,332.2,1.7,1.3,2021-08-17,52,Aqua,MODIS,100,6.03,295.3,63,N,0
38.1048,23.3388,316,1.7,1.3,2021-08-17,52,Aqua,MODIS,69,6.03,289.9,24.1,N,0
38.1084,23.3206,323.5,1.7,1.3,2021-08-17,52,Aqua,MODIS,69,6.03,293.1,36.4,N,0
38.1121,23.3022,327.1,1.7,1.3,2021-08-17,52,Aqua,MODIS,88,6.03,293.8,45.8,N,0
