latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
40.44483,27.14233,311.78,0.47,0.64,2021-08-06,101,N20,VIIRS,n,2,285.76,2.12,N,2
41.02035,28.55401,314.52,0.52,0.67,2021-08-06,101,N20,VIIRS,n,2,294.61,1.63,N,2
41.02068,28.55491,315.09,0.52,0.67,2021-08-06,101,N20,VIIRS,n,2,295.22,1.73,N,2
37.05739,27.87939,312,0.63,0.72,2021-08-06,102,N20,VIIRS,n,2,297.62,5.92,N,0
37.06406,27.81136,310.65,0.63,0.72,2021-08-06,102,N20,VIIRS,n,2,295.63,2.11,N,0
37.06919,27.8874,308.67,0.63,0.72,2021-08-06,102,N20,VIIRS,n,2,296.29,3.04,N,0
37.07022,27.81446,311.43,0.63,0.72,2021-08-06,102,N20,VIIRS,n,2,294.93,2.11,N,0
37.07211,27.87789,307.89,0.63,0.72,2021-08-06,102,N20,VIIRS,n,2,297.51,3.04,N,0
37.0732,27.8976,314.15,0.63,0.72,2021-08-06,102,N20,VIIRS,n,2,297.08,6.2,N,0
37.07558,27.88984,328.5,0.63,0.72,2021-08-06,102,N20,VIIRS,n,2,297.87,3.04,N,0
37.07661,27.83998,350.5,0.63,0.72,2021-08-06,102,N20,VIIRS,n,2,300.62,13.78,N,0
37.07824,27.88113,310.09,0.63,0.72,2021-08-06,102,N20,VIIRS,n,2,298.92,3.04,N,0
37.08116,27.8716,319.47,0.63,0.72,2021-08-06,102,N20,VIIRS,n,2,299.08,4.79,N,0
37.08199,27.89217,320.32,0.63,0.72,2021-08-06,102,N20,VIIRS,n,2,296.77,5.68,N,0
37.08259,27.84366,313.1,0.63,0.72,2021-08-06,102,N20,VIIRS,n,2,296.45,2.66,N,0
37.08437,27.86111,313.78,0.63,0.72,2021-08-06,102,N20,VIIRS,n,2,297.48,4.79,N,0
37.08469,27.88334,333.02,0.63,0.72,2021-08-06,102,N20,VIIRS,n,2,297.61,5.68,N,0
37.08656,27.85395,312.42,0.63,0.72,2021-08-06,102,N20,VIIRS,n,2,297.04,2.66,N,0
37.08768,27.87356,313.47,0.63,0.72,2021-08-06,102,N20,VIIRS,n,2,296.81,4.9,N,0
37.0885,27.84759,309.77,0.63,0.72,2021-08-06,102,N20,VIIRS,n,2,295.53,2.66,N,0
37.27678,28.38534,313.05,0.67,0.73,2021-08-06,102,N20,VIIRS,n,2,294.01,4.83,N,0
37.27975,28.39048,312.34,0.67,0.73,2021-08-06,102,N20,VIIRS,n,2,293.33,3.2,N,0
37.28167,28.39297,310.27,0.67,0.73,2021-08-06,102,N20,VIIRS,n,2,291.94,2.09,N,0
37.28185,28.38386,311.39,0.67,0.73,2021-08-06,102,N20,VIIRS,n,2,293.09,3.16,N,0
37.28787,28.32626,305.26,0.66,0.73,2021-08-06,102,N20,VIIRS,n,2,292.03,2.51,N,0
37.29202,28.3129,321.87,0.66,0.73,2021-08-06,102,N20,VIIRS,n,2,293.62,3.71,N,0
37.29421,28.30582,319.19,0.66,0.73,2021-08-06,102,N20,VIIRS,n,2,292.16,3.71,N,0
37.2944,28.32856,315.43,0.66,0.73,2021-08-06,102,N20,VIIRS,n,2,293.32,2.51,N,0
37.29633,28.32235,305.7,0.66,0.73,2021-08-06,102,N20,VIIRS,n,2,293.27,2.51,N,0
37.29838,28.31573,309,0.66,0.73,2021-08-06,102,N20,VIIRS,n,2,293.91,3.71,N,0
37.30056,28.30869,321.5,0.66,0.73,2021-08-06,102,N20,VIIRS,n,2,294.28,3.71,N,0
37.30341,28.31562,307.84,0.66,0.73,2021-08-06,102,N20,VIIRS,n,2,293.16,5.08,N,0
