latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
41.01831,28.55672,307.37,0.41,0.37,2021-08-06,11,N,VIIRS,n,2,296.53,1.68,N,2
41.0217,28.5578,314.98,0.41,0.37,2021-08-06,11,N,VIIRS,n,2,298.67,1.68,N,2
37.04796,27.86587,318.22,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,298.78,3.39,N,0
37.05558,27.88411,324.45,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,303.08,3.49,N,0
37.05634,27.88121,343.01,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,304.59,3.24,N,0
37.05646,27.87929,336.25,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,301.28,3.49,N,0
37.05719,27.89524,323.03,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,299.9,2.82,N,0
37.05725,27.87636,311.07,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,299.42,3.24,N,0
37.05793,27.89218,325.97,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,300.84,3.72,N,0
37.05812,27.89017,312.86,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,299.65,2.82,N,0
37.05886,27.88722,329.19,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,300.91,3.72,N,0
37.05902,27.88527,336.2,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,301.74,3.49,N,0
37.05978,27.88233,326.26,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,299.79,3.24,N,0
37.05992,27.88037,326.24,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,300.55,3.49,N,0
37.06045,27.81769,310.57,0.43,0.38,2021-08-06,12,N,VIIRS,n,2,299.63,2.42,N,0
37.06071,27.8774,318.27,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,300.41,3.24,N,0
37.06083,27.87543,314.76,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,300.45,4.51,N,0
37.06133,27.81289,321.26,0.43,0.38,2021-08-06,12,N,VIIRS,n,2,298.97,3.76,N,0
37.06221,27.80805,308.3,0.43,0.38,2021-08-06,12,N,VIIRS,n,2,297.42,3.76,N,0
37.06351,27.86249,312.31,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,300.02,3.15,N,0
37.0639,27.81875,320.31,0.43,0.38,2021-08-06,12,N,VIIRS,n,2,299.8,2.42,N,0
37.06478,27.81392,347.83,0.43,0.38,2021-08-06,12,N,VIIRS,n,2,305.46,3.76,N,0
37.06566,27.80908,309.97,0.43,0.38,2021-08-06,12,N,VIIRS,n,2,298.06,3.76,N,0
37.06574,27.88952,323.11,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,299.37,3.59,N,0
37.06669,27.88446,339.89,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,302.46,8.56,N,0
37.06736,27.81974,343.54,0.43,0.38,2021-08-06,12,N,VIIRS,n,2,304.91,5.35,N,0
37.06749,27.82179,315.58,0.43,0.38,2021-08-06,12,N,VIIRS,n,2,301.09,2.82,N,0
37.06839,27.81696,332.51,0.43,0.38,2021-08-06,12,N,VIIRS,n,2,302.38,2.82,N,0
37.06922,27.89051,316.57,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,298.06,7.19,N,0
37.07015,27.8855,324.86,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,299.72,2.31,N,0
37.07082,27.82072,331.99,0.43,0.38,2021-08-06,12,N,VIIRS,n,2,301.64,5.35,N,0
37.07096,27.82274,312.19,0.43,0.38,2021-08-06,12,N,VIIRS,n,2,299.98,2.82,N,0
37.07111,27.88039,317.69,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,301.77,2.31,N,0
37.07172,27.83819,322.05,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,300.99,12.28,N,0
37.07177,27.89638,331.56,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,299.32,7.19,N,0
37.07186,27.81795,317.58,0.43,0.38,2021-08-06,12,N,VIIRS,n,2,297.75,2.82,N,0
37.07207,27.87529,314.05,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,302.94,3.21,N,0
37.07269,27.89148,347.41,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,303.49,7.19,N,0
37.07362,27.88648,322.41,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,300.71,2.31,N,0
37.07427,27.84404,339.34,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,310.81,12.28,N,0
37.07443,27.82369,334.71,0.43,0.38,2021-08-06,12,N,VIIRS,n,2,302.72,4.8,N,0
37.07458,27.88139,318.97,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,303.62,2.31,N,0
37.07518,27.83916,354.41,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,311.92,12.28,N,0
37.07525,27.89736,329.98,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,300.75,8.12,N,0
37.07553,27.87631,317.44,0.44,0.38,2021-08-06,12,N,VIIRS,n,2,304.55,3.21,N,0
