id,symbol,event title,type of event,start date,end date,exact location,location coordinate x,location coordinate y,location Region,summary text,main agency,main actor,secondary actor,source link,Image 01,Image 02,Image 03,,,,,,
,,Meeting at Megaro Maximou,Announcement / Meeting / Event by the greek government,18/08/2021,18/08/2021,Athens,,,Attica,"Meeting at Maximou
Presentation of immediate and long-term mesures",Greek central government,Prime Minister,,,,,,,,,,,
,,NORTH EVIA,Active Fire,03/08/2021,13/08/2021,Mutiple Locations,,,North Evia,,Fire Brigade,,,,,,,,,,,,
,,,Fire (between suppression of the main fronts and full suppression),13/08/2021,18/09/2021,Mutiple Locations,,,North Evia,,Fire Brigade,,,,,,,,,,,,
,,Full suppression of the fire fronts announced by the fire brigade,Event,18/09/2021,18/09/2021,Mutiple Locations,,,North Evia,,Fire Brigade,,,,,,,,,,,,
,,Meeting of Stavros Benos with mayors of N. Evia and regional governor,Announcement / Meeting / Event  by local municipalities,07/09/2021,07/09/2021,Limni,,,North Evia,,"Local Municipality of Istiaia, Aidipsos, Local Municipality of Limni, Mantoudi, Agia Anna, Diazoma, Regional Government of Sterea Ellada",S. Benos,,,,,,,,,,,
,,,Announcement / Meetings / Events / Demonstrations by civil society,21/08/2021,21/08/2021,Strofilia,,,North Evia,"Demonstration organised by the Union of Resin collectors in N. Evia, Rural association of Mantoudi, Initiative of citizens affected by the fire","Rural association of Mantoudi, Initiative of citizens affected by the fire, Union of Resin collectors in N. Evia",,,,,,,,,,,,
,,ATTICA,Active Fire,03/08/2021,07/08/2021,Acharnes,,,Attica,,Fire Brigade,,,,,,,,,,,,
,,ATTICA,Active Fire,05/08/2021,07/08/2021,Afidnes,,,Attica,,Fire Brigade,,,,,,,,,,,,
,,ATTICA,Active Fire,04/08/2021,11/08/2021,Ancient Olympia,,,Peloponese,,Fire Brigade,,,,,,,,,,,,
,,ATTICA,Active Fire,16/08/2021,16/08/2021,Mandra,,,Attica,,,,,,,,,,,,,,
,,Press conference ,Announcement / Meeting / Event by the greek government,10/08/2021,10/08/2021,Athens,,,Attica,Direct assignment of the regeneration programme for N.Evia to S.Benos ,Greek central government,Prime Minister,S. Benos,,,,,,,,,,
,,Donation grant announcement,Announcement / Meeting / Event  by private actors,12/08/2021,12/08/2021,Athens,,,Attica,Stavros Niarchos foundation announced 15 million donation grant for the immediate relief of those affected by this year’s fires,"Greek central government, Stravros Niarchos Foundation",,,,,,,,,,,,
,,Consecutive days of severe rainfall,Flood,09/10/2021,12/10/2021,Mutiple Locations,,,North Evia,floodings..,,,,,,,,,,,,,
,,1st bulletin 'KNOUKLA',Announcement / Meetings / Events / Demonstrations by civil society,14/10/2021,14/10/2021,Mutiple Locations,,,North Evia,1st Information bulletin by Initiative  in N. Evia,Initiative of citizens affected by the fire,,,,,,,,,,,,
,,FEK 143A,Legislation changes,13/08/2021,13/08/2021,Athens,,,Attica,"_Trasfer of Forestry Services from the Decentralised Administrations to the Ministry of Environment & Energy
_Introduction of Online Platform arogi.gov.gr for the provision of state relief funds from wildfires","Ministry of Environment & Energy, Ministry of Civil Protection, Forestry Service",,,,,,,,,,,,
,,,Event,,,Istiaia,,,North Evia,"License is revoked by the Regulatory Energy Authority (RAE)
for electricity generation via wind farm at Telethrio Mountain in Northern Evia",Regulatory Energy Authority (RAE),,,,,,,,,,,,
,,,Event,15/06/2021,15/06/2021,Istiaia,,,North Evia,License is granted by the Regulatory Energy Authority (RAE)for electricity generation via wind farm at Telethrio Mountain in Northern,Regulatory Energy Authority (RAE),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Demonstration by the Initiative of N. Evia against the imposition of the Diazoma committee,Announcement / Meetings / Events / Demonstrations by civil society,06/11/2021,06/11/2021,Athens,,,Attica,"Demonstration by the Initiative  in N. Evia against the imposition of the S.Benos committee. ''While the forest is burning, instead of fire trucks, they sent us Benos''",Initiative of citizens affected by the fire,,,,,,,,,,,,
,,,Contracts signed between private actors,20/10/2021,02/12/2021,Athens,,,Attica,,Diazoma,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
